num_cont_1,num_cont_2,num_cont_3,num_cont_4,num_cont_5,num_cont_6,num_cont_7,num_cont_8,num_int_1,num_int_2,num_int_3,num_int_4,num_int_5,num_int_6,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,target
0.30471707975443135,,,0.04179232896190782,0.5425363241803595,,-2.2405119962211373,,,7.0,,2.0,5.0,10.0,,,red,,,,0
-1.0399841062404955,2.0529931207421246,,-1.335148828920547,0.7373676304963951,,,,,2.0,,0.0,6.0,,,low,,cat_Z,,,1
0.7504511958064572,,,1.5717209138534616,0.8587063788638511,,-0.1745492284097376,,3.0,7.0,10.0,3.0,5.0,,,,,cat_Y,,yes,0
0.9405647163912139,0.7959343830339232,2.009767173050096,1.3548681631190385,0.2914612259243449,,-0.7925333065101553,,,0.0,,1.0,4.0,,A,,blue,,,,1
-1.9510351886538364,1.941231637458596,,-0.9087810089069499,0.2921346401698327,,,,,,,,,,,,,,alpha,,0
-1.302179506862318,1.0538816093064929,,-0.32298011809581906,,,,,,,,,6.0,,A,,,cat_Y,,,0
0.12784040316728537,3.234476366112627,,-0.4575869162633108,0.2525790419625675,,-0.8210669665322166,,,1.0,,,5.0,13.0,,,,cat_Z,,,0
-0.3162425923435822,0.2834445724556404,,-1.8894687431026647,,,,,,,,1.0,10.0,,,medium,,cat_Z,,yes,0
-0.016801157504288795,0.25872193233422947,,,,,,,,6.0,,3.0,2.0,14.0,A,,blue,,,yes,0
-0.85304392757358,1.8510429061345863,,0.8451454054153468,0.4389036342012325,,,,,4.0,,,,2.0,,high,blue,cat_Y,,yes,1
,1.9989974341411325,,0.6568888131048776,1.3995833605041579,,-0.20551922107057147,,,7.0,8.0,1.0,7.0,,,,,cat_Z,,,1
0.7777919354289483,0.8567578073943759,,0.03275380021457846,0.13952296709962592,,,,,1.0,,1.0,3.0,,A,,,cat_Y,,,1
0.06603069756121605,1.377562344294272,,0.9421590602876091,,,,,,4.0,13.0,1.0,5.0,3.0,B,,,cat_Y,,,0
1.1272412069680329,1.8151454134395615,,,0.8485102715912645,,,,,,,,4.0,13.0,A,high,,cat_Y,beta,yes,0
0.4675093422520456,0.5214767624046837,-2.038753433125798,1.8182815919130166,0.3631411028240712,,-0.09540799491741057,,,3.0,,1.0,3.0,,,,,cat_Y,,no,0
,,,-0.7720821066316832,,,,0.9581095778800339,3.0,6.0,10.0,2.0,,7.0,A,,yellow,cat_X,,yes,0
0.36875078408249884,1.1639052473305758,,-0.6610076491734261,3.389961245295683,,-0.9304610391182428,,,0.0,,2.0,6.0,13.0,A,,,,alpha,yes,1
-0.9588826008289989,,,-0.5752157624080152,1.1578909275480862,,0.5581459649377293,,,,13.0,3.0,,7.0,,,,,,yes,0
0.8784503013072725,0.39346406330114125,,-0.6481467148564317,1.3765410536635134,,,,,4.0,7.0,0.0,3.0,,,,,cat_Y,,,1
-0.049925910986252896,0.8535440683665225,,-0.19272405647228807,0.5328790102113663,,,,,7.0,16.0,0.0,4.0,5.0,,,,cat_Z,alpha,,0
-0.18486236354526056,0.8225143864560924,,-0.23144481705556852,0.3468997325676552,-0.8706210830710117,0.3915351450125145,,,,,,,,,high,,cat_Z,,yes,1
,1.3970561657808933,,0.12963998463591486,0.8246071950185971,,,,6.0,,,3.0,4.0,4.0,,,,,,,0
1.2225413386740303,0.9930654596548792,,-0.8186971393412404,0.1400020943202022,,,,,,9.0,2.0,6.0,,A,,,cat_Y,alpha,yes,0
-0.15452948206880215,0.6461608146827948,,0.16660435602016524,0.4158416784605081,,,,,0.0,,3.0,4.0,14.0,,low,blue,,,yes,0
-0.4283278221631072,2.7151647273594244,,-1.0904272938877675,0.36714443282113013,,1.379270749397639,,,6.0,6.0,2.0,3.0,,,medium,green,cat_Y,,,0
-0.3521335504882296,0.6495951311610195,,0.7324747199858609,0.19573119727254285,,0.25711405474561566,,,7.0,,0.0,,15.0,,,,,,,1
0.5323091855533487,0.7916173954717542,2.788662073527057,0.7200700827037145,1.6809749635583293,,0.9591788474471598,3.946296920820492,,,,2.0,6.0,,,,,,,yes,0
0.36544406436407834,0.2799349263445357,,-0.00578691043936403,0.9008604120285042,,-0.03898645568523393,,,,14.0,,6.0,,,,,cat_Y,,,0
0.4127326115959884,0.5650162984278977,,-0.649697121352712,0.609122348786568,,0.3650788343318309,,,7.0,7.0,0.0,,9.0,,,blue,cat_Z,,,0
0.43082100300788273,,,0.31113331265100924,1.7105467685606603,,,,,5.0,10.0,1.0,6.0,,,,,cat_Y,,,0
,1.2923749407564558,,-0.887647162594006,0.2683623825458596,,0.03789543289734582,,,0.0,6.0,0.0,5.0,,,,,cat_Z,,yes,0
-0.4064150163846156,1.6154500588336982,,0.03454023133646275,,,,,,6.0,11.0,,11.0,,,low,,,,,0
-0.5122427290715373,1.5539278600389157,,,,,,,,0.0,,,,,,,,cat_Y,,,0
-0.8137727282478777,,,2.629908433664263,6.2035741724731475,,,,,3.0,,,5.0,,,,,,,yes,0
